Latitude,Longitude,Title,Description
48.273996,-2.187398,Rennes,"Number of CCS Chargers: 4
Station open 24/7"
49.455104,15.593272,Jihlava,"Number of CCS Chargers: 2
Station open 24/7"
49.453814,15.59148,Jihlava,"Number of CCS Chargers: 2
Station open 24/7"
63.01096,7.97538,Molde,"Number of CCS Chargers: 4
Station open 24/7"
42.578429,2.846994,Perpignan,"Number of CCS Chargers: 4
Station open 24/7"
42.577784,2.848341,Perpignan,"Number of CCS Chargers: 4
Station open 24/7"
61.57475,6.48347,Leikanger,"Number of CCS Chargers: 4
Station open 24/7"
38.824574,-3.396857,Linares,"Number of CCS Chargers: 4
Station open 24/7"
52.392241,10.753713,Braunschweig,"Number of CCS Chargers: 4
Station open 24/7"
51.503064,5.414372,Eindhoven,"Number of CCS Chargers: 4
Station open 24/7"
61.74251,17.07861,Bollnäs,"Number of CCS Chargers: 4
Station open 24/7"
51.926279,10.143238,Braunschweig,"Number of CCS Chargers: 4
Station open 24/7"
51.928028,10.14173,Braunschweig,"Number of CCS Chargers: 4
Station open 24/7"
52.31562,13.494702,Berlin,"Number of CCS Chargers: 4
Station open 24/7"
51.513848,-2.109768,Bath,"Number of CCS Chargers: 4
Station open 24/7"
59.88546,17.66622,Uppsala,"Number of CCS Chargers: 4
Station open 24/7"
45.275563,4.825571,Saint-Étienne,"Number of CCS Chargers: 4
Station open 24/7"
43.182391,-5.811289,Oviedo,"Number of CCS Chargers: 2
Station open 24/7"
45.660128,3.153525,Clermont-Ferrand,"Number of CCS Chargers: 4
Station open 24/7"
47.380371,19.055785,Budapest,"Number of CCS Chargers: 2
Station open 24/7"
42.732379,-1.618726,Pamplona,"Number of CCS Chargers: 2
Station open 24/7"
45.188934,-0.492422,Bordeaux,"Number of CCS Chargers: 4
Station open 24/7"
47.665885,1.387757,Orléans,"Number of CCS Chargers: 4
Station open 24/7"
48.23192,7.402639,Freiburg,"Number of CCS Chargers: 4
Station open 24/7"
47.664023,1.387813,Orléans,"Number of CCS Chargers: 4
Station open 24/7"
43.92911,10.22261,Pisa,"Number of CCS Chargers: 4
Station open 24/7"
44.870544,3.253033,,"Number of CCS Chargers: 4
Station open 24/7"
50.299926,8.2347,Wiesbaden,"Number of CCS Chargers: 4
Station open 24/7"
46.573538,-1.118014,La Rochelle,"Number of CCS Chargers: 4
Station open 24/7"
51.094361,1.046817,Dover,"Number of CCS Chargers: 4
Station open 24/7"
51.474082,7.151429,Essen,"Number of CCS Chargers: 4
Station open 24/7"
45.610095,-0.598651,La Rochelle,"Number of CCS Chargers: 4
Station open 24/7"
46.606361,15.663762,Maribor,"Number of CCS Chargers: 4
Station open 24/7"
45.2374,11.76287,Ferrara,"Number of CCS Chargers: 4
Station open 24/7"
46.609599,15.661929,Maribor,"Number of CCS Chargers: 4
Station open 24/7"
62.11837,10.61407,,"Number of CCS Chargers: 4
Station open 24/7"
43.418629,-0.584799,Tarbes,"Number of CCS Chargers: 4
Station open 24/7"
37.57169,14.4797,Catania,"Number of CCS Chargers: 4
Station open 24/7"
52.424872,10.745689,Braunschweig,"Number of CCS Chargers: 6
Station open 24/7"
40.458398,-3.616092,Madrid,Campo de las Naciones
54.99774,12.0007,Sorø,"Number of CCS Chargers: 4
Station open 24/7"
45.611787,5.212795,Lyon,"Number of CCS Chargers: 4
Station open 24/7"
45.79725,12.81914,Udine,"Number of CCS Chargers: 4
Station open 24/7"
48.09518,-0.693474,Le Mans,"Number of CCS Chargers: 4
Station open 24/7"
46.751937,2.417075,Bourges,"Number of CCS Chargers: 4
Station open 24/7"
46.751623,2.417606,Bourges,"Number of CCS Chargers: 4
Station open 24/7"
45.02694,9.73478,Parma,"Number of CCS Chargers: 5
Station open 24/7"
49.532356,12.13491,Regensburg,"Number of CCS Chargers: 4
Station open 24/7"
49.215116,6.171845,Metz,"Number of CCS Chargers: 4
Station open 24/7"
48.69253,12.672979,Regensburg,"Number of CCS Chargers: 4
Station open 24/7"
48.219137,10.127765,Ulm,"Number of CCS Chargers: 4
Station open 24/7"
43.999633,4.700191,Nîmes,"Number of CCS Chargers: 4
Station open 24/7"
43.985279,3.183078,Montpellier,"Number of CCS Chargers: 4
Station open 24/7"
55.67309,24.33591,Panevežys,"Number of CCS Chargers: 2
Station open 24/7"
47.852405,2.684731,Orléans,"Number of CCS Chargers: 4
Station open 24/7"
40.63193,15.81358,Potenza,"Number of CCS Chargers: 4
Station open 24/7"
45.673865,5.929976,Annecy,"Number of CCS Chargers: 4
Station open 24/7"
51.06441,2.673611,Brugge,"Number of CCS Chargers: 4
Station open 24/7"
49.984404,14.602629,Prague,"Number of CCS Chargers: 2
Station open 24/7"
58.00147,14.45086,Jönköping,"Number of CCS Chargers: 4
Station open 24/7"
41.643444,0.931306,Tarragona,"Number of CCS Chargers: 4
Station open 24/7"
53.253234,-6.5698138,Dublin,"Number of CCS Chargers: 4
Station open 24/7"
43.42185,-0.598593,Tarbes,"Number of CCS Chargers: 4
Station open 24/7"
44.171306,0.60966,Agen,"Number of CCS Chargers: 4
Station open 24/7"
44.004071,4.703626,Nîmes,"Number of CCS Chargers: 4
Station open 24/7"
54.81854,23.85809,Kaunas,"Number of CCS Chargers: 2
Station open 24/7"
50.863745,-3.38449,Exeter,"Number of CCS Chargers: 4
Station open 24/7"
48.126677,0.623299,Le Mans,"Number of CCS Chargers: 4
Station open 24/7"
48.125475,0.622302,Le Mans,"Number of CCS Chargers: 4
Station open 24/7"
56.20688,15.64293,Karlskrona,"Number of CCS Chargers: 4
Station open 24/7"
51.305255,-0.40673,London,"Number of CCS Chargers: 6
Station open 24/7"
46.08704,11.1111,Trento,"Number of CCS Chargers: 4
Station open 24/7"
50.833837,9.570775,Kassel,"Number of CCS Chargers: 4
Station open 24/7"
38.09985,13.34618,Palermo,"Number of CCS Chargers: 2
Station open 24/7"
43.922931,4.91204,Nîmes,"Number of CCS Chargers: 4
Station open 24/7"
52.386433,9.998919,Hannover,"Number of CCS Chargers: 4
Station open 24/7"
61.24266,10.4335,Lillehammer,"Number of CCS Chargers: 4
Station open 24/7"
45.33552,9.10753,Milan,"Number of CCS Chargers: 4
Station open 24/7"
53.2482657,-6.5964347,Dublin,"Number of CCS Chargers: 4
Station open 24/7"
60.82244,9.55347,Lillehammer,"Number of CCS Chargers: 4
Station open 24/7"
52.013772,-0.203003,Luton,"Number of CCS Chargers: 4
Station open 24/7"
47.223166,5.010984,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
63.324643,10.306073,Trondheim,"Number of CCS Chargers: 4
Station open 24/7"
45.50105,11.43627,Verona,"Number of CCS Chargers: 4
Station open 24/7"
53.713494,-2.477038,Manchester,"Number of CCS Chargers: 4
Station open 24/7"
46.127822,7.059829,Sion,"Number of CCS Chargers: 4
Station open 24/7"
44.24289,12.08182,Ravenna,"Number of CCS Chargers: 4
Station open 24/7"
45.907702,15.3708,Karlovac,"Number of CCS Chargers: 2
Station open 24/7"
56.419402,-3.463082,Perth,"Number of CCS Chargers: 4
Station open 24/7"
43.9592,8.13416,Monaco,"Number of CCS Chargers: 4
Station open 24/7"
48.411614,10.914898,Augsburg,"Number of CCS Chargers: 4
Station open 24/7"
50.054708,8.908177,Frankfurt,"Number of CCS Chargers: 4
Station open 24/7"
41.311642,-2.002738,,"Number of CCS Chargers: 2
Station open 24/7"
41.31261,-2.00133,Zaragoza,"Number of CCS Chargers: 4
Station open 24/7"
51.834832,4.618082,Rotterdam,"Number of CCS Chargers: 2
Station open 24/7"
52.26907,-0.00901,Cambridge,"Number of CCS Chargers: 4
Station open 24/7"
43.586191,-1.419585,Biarritz,"Number of CCS Chargers: 4
Station open 24/7"
43.586073,-1.420776,Biarritz,"Number of CCS Chargers: 4
Station open 24/7"
52.532663,-0.32065,Peterborough,"Number of CCS Chargers: 6
Station open 24/7"
48.240666,17.360754,Bratislava,"Number of CCS Chargers: 2
Station open 24/7"
50.655355,5.710963,Liège,"Number of CCS Chargers: 4
Station open 24/7"
52.388762,9.99631,Hannover,"Number of CCS Chargers: 4
Station open 24/7"
48.588065,13.366667,Passau,"Number of CCS Chargers: 4
Station open 24/7"
48.589422,13.365369,Passau,"Number of CCS Chargers: 4
Station open 24/7"
53.161647,6.292686,Groningen,"Number of CCS Chargers: 3
Station open 24/7"
58.68492,13.84544,Mariestad,"Number of CCS Chargers: 4
Station open 24/7"
50.622096,8.897196,Gießen,"Number of CCS Chargers: 4
Station open 24/7"
50.688524,8.295916,Gießen,"Number of CCS Chargers: 4
Station open 24/7"
50.622937,8.894846,Gießen,"Number of CCS Chargers: 4
Station open 24/7"
62.33874,17.3538,Sundsvall,"Number of CCS Chargers: 4
Station open 24/7"
47.802835,12.178503,Rosenheim,"Number of CCS Chargers: 4
Station open 24/7"
60.88007,11.55093,Hamar,"Number of CCS Chargers: 4
Station open 24/7"
53.77046,-1.47691,Leeds,"Number of CCS Chargers: 6
Station open 24/7"
48.059266,10.846791,Augsburg,"Number of CCS Chargers: 4
Station open 24/7"
48.058328,10.847694,Augsburg,"Number of CCS Chargers: 4
Station open 24/7"
52.540755,8.112701,Osnabrück,"Number of CCS Chargers: 4
Station open 24/7"
52.539229,8.114598,Osnabrück,"Number of CCS Chargers: 4
Station open 24/7"
47.892208,11.731279,Munich,"Number of CCS Chargers: 4
Station open 24/7"
59.83325,6.81375,Vossavangen,"Number of CCS Chargers: 2
Station open 24/7"
44.08777,8.20626,Genoa,"Number of CCS Chargers: 4
Station open 24/7"
57.81289,13.41947,Borås,"Number of CCS Chargers: 4
Station open 24/7"
51.626603,4.869592,s-Hertogenbosch,"Number of CCS Chargers: 6
Station open 24/7"
46.685063,17.37977,Zalaegerszeg,"Number of CCS Chargers: 4
Station open 24/7"
37.575694,-1.800833,Lorca,"Number of CCS Chargers: 2
Station open 24/7"
50.817306,6.216629,Maastricht,"Number of CCS Chargers: 4
Station open 24/7"
50.817668,6.213854,Maastricht,"Number of CCS Chargers: 4
Station open 24/7"
51.467751,7.596959,Dortmund,"Number of CCS Chargers: 4
Station open 24/7"
45.885078,4.894234,Lyon,"Number of CCS Chargers: 4
Station open 24/7"
48.931751,12.708247,Regensburg,"Number of CCS Chargers: 4
Station open 24/7"
45.540178,13.726839,Trieste,"Number of CCS Chargers: 4
Station open 24/7"
45.78376,16.150672,Zagreb,"Number of CCS Chargers: 4
Station open 24/7"
44.22647,9.72971,Genoa,"Number of CCS Chargers: 4
Station open 24/7"
52.318183,13.494709,Berlin,"Number of CCS Chargers: 4
Station open 24/7"
56.01699,12.75934,Helsingborg,"Number of CCS Chargers: 4
Station open 24/7"
52.066539,4.738413,Rotterdam,"Number of CCS Chargers: 4
Station open 24/7"
52.223703,9.221469,Hannover,"Number of CCS Chargers: 4
Station open 24/7"
46.832458,6.859379,Neuchâtel,"Number of CCS Chargers: 4
Station open 24/7"
52.226977,9.232545,Hannover,"Number of CCS Chargers: 4
Station open 24/7"
51.1579,6.961815,Düsseldorf,"Number of CCS Chargers: 4
Station open 24/7"
51.156807,6.964803,Düsseldorf,"Number of CCS Chargers: 4
Station open 24/7"
46.68356,17.37848,Zalaegerszeg,"Number of CCS Chargers: 4
Station open 24/7"
45.889238,4.893502,Lyon,"Number of CCS Chargers: 4
Station open 24/7"
45.843868,5.070508,Lyon,"Number of CCS Chargers: 4
Station open 24/7"
51.468319,7.594014,Dortmund,"Number of CCS Chargers: 4
Station open 24/7"
51.158407,7.230332,Wuppertal,"Number of CCS Chargers: 4
Station open 24/7"
51.921616,5.603749,Arnhem,"Number of CCS Chargers: 2
Station open 24/7"
58.57675,16.1812,Norrköping,"Number of CCS Chargers: 4
Station open 24/7"
47.30968,4.501811,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
57.2513,16.44875,Kalmar,"Number of CCS Chargers: 4
Station open 24/7"
47.815184,5.223172,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
53.6376,-6.25894,Drogheda,"Number of CCS Chargers: 2
Station open 24/7"
49.241155,10.356121,Fürth,"Number of CCS Chargers: 4
Station open 24/7"
49.242629,10.352944,Fürth,"Number of CCS Chargers: 4
Station open 24/7"
56.02307,14.17307,Kristianstad,"Number of CCS Chargers: 4
Station open 24/7"
45.548541,6.158058,Annecy,"Number of CCS Chargers: 4
Station open 24/7"
45.547331,6.154824,Annecy,"Number of CCS Chargers: 4
Station open 24/7"
49.95581,14.062759,Prague,"Number of CCS Chargers: 4
Station open 24/7"
47.906573,11.717379,Munich,"Number of CCS Chargers: 4
Station open 24/7"
47.030917,5.10791,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
47.032073,5.109707,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
61.00769,24.42201,Hämeenlinna,"Number of CCS Chargers: 2
Station open 24/7"
60.9835,25.73731,Lahti,"Number of CCS Chargers: 2
Station open 24/7"
48.931044,12.705416,Regensburg,"Number of CCS Chargers: 4
Station open 24/7"
47.974493,3.197267,Auxerre,"Number of CCS Chargers: 4
Station open 24/7"
53.299981,9.532557,Hamburg,"Number of CCS Chargers: 4
Station open 24/7"
52.998531,9.181213,Bremen,"Number of CCS Chargers: 4
Station open 24/7"
53.000606,9.179514,Bremen,"Number of CCS Chargers: 4
Station open 24/7"
53.299087,9.53517,Hamburg,"Number of CCS Chargers: 4
Station open 24/7"
59.49497,8.2027,Skien,"Number of CCS Chargers: 4
Station open 24/7"
47.813347,5.22459,Dijon,"Number of CCS Chargers: 4
Station open 24/7"
48.157839,15.940398,Vienna,"Number of CCS Chargers: 4
Station open 24/7"
48.262403,2.722228,Melun,"Number of CCS Chargers: 4
Station open 24/7"
46.134416,4.766841,Lyon,"Number of CCS Chargers: 4
Station open 24/7"
57.1645,14.07578,Växjö,"Number of CCS Chargers: 4
Station open 24/7"
47.00627,11.50668,Innsbruck,"Number of CCS Chargers: 4
Station open 24/7"
60.42587,22.724,Turku,"Number of CCS Chargers: 2
Station open 24/7"
55.58492,12.258,Roskilde,"Number of CCS Chargers: 10
Station open 24/7"
45.876536,6.070678,Annecy,"Number of CCS Chargers: 4
Station open 24/7"
